from,to
"Hong Kong, China","Hong Kong"
"Virgin Islands, British",British Virgin Islands
"Virgin Islands, US",United States Virgin Islands
Brunei Darussalam,Brunei
Chinese Taipei,Taiwan
Côte d'Ivoire,Cote d'Ivoire
Czech Republic,Czechia
Democratic Republic of the Congo,Democratic Republic of Congo
Democratic Republic of Timor-Leste,Timor
Federated States of Micronesia,Micronesia (country)
Great Britain,United Kingdom
Islamic Republic of Iran,Iran
Lao People's Democratic Republic,Laos
People's Republic of China,China
Republic of Korea,South Korea
Republic of Moldova,Moldova
ROC,Russia
St Vincent and the Grenadines,Saint Vincent and the Grenadines
Syrian Arab Republic,Syria
United Republic of Tanzania,Tanzania
United States of America,United States
