entity,population,gdp
Afghanistan,39835428,67594970923
Africa,1373486472,
Albania,2872934,34009113045
Algeria,44616626,590317549399
American Samoa,55103,
Andorra,77354,
Angola,33933611,175929578042
Anguilla,15125,
Antigua and Barbuda,98728,
Argentina,45605823,829373254831
Armenia,2968128,33296515550
Aruba,107195,
Asia,4679660580,
Australia,25788217,1238559648720
Austria,9043072,382269444360
Azerbaijan,10223344,160426221651
Bahamas,396914,
Bahrain,1748295,62559305437
Bangladesh,166303494,686521749313
Barbados,287708,3516161102
Belarus,9442867,178435259131
Belgium,11632334,454384314205
Belize,404915,
Benin,12451031,26682033535
Bermuda,62092,
Bhutan,779900,
Bolivia,11832936,75704710887
Bonaire Sint Eustatius and Saba,26445,
Bosnia and Herzegovina,3263459,41286323313
Botswana,2397240,35844341352
Brazil,213993441,2965401452085
British Virgin Islands,30423,
Brunei,441532,
Bulgaria,6896655,132183449574
Burkina Faso,21497097,31315025032
Burundi,12255429,7314109088
Cambodia,16946446,59541851604
Cameroon,27224262,76168245066
Canada,38067913,1669401514253
Cape Verde,561901,3882678732
Cayman Islands,66498,
Central African Republic,4919987,3581982387
Chad,16914985,31212918297
Channel Islands,175244,
Chile,19212362,412833627887
China,1444216102,18151620437216
Colombia,51265841,651900563305
Comoros,888456,1416032118
Congo,5657017,29513591100
Cook Islands,17572,
Costa Rica,5139053,73336988552
Cote d'Ivoire,27053629,102581662691
Croatia,4081657,84978688360
Cuba,11317498,92551014481
Curacao,164796,
Cyprus,1215588,27790155429
Czechia,10724553,326100315851
Czechoslovakia,,474041258924
Democratic Republic of Congo,92377986,81846381646
Denmark,5813302,268317624889
Djibouti,1002197,2913438473
Dominica,72172,667810425
Dominican Republic,10953714,165255139275
East Asia,,26432972351883
Eastern Europe,,8404875074853
Ecuador,17888474,175524677190
Egypt,104258327,1221832614741
El Salvador,6518500,54756344105
Equatorial Guinea,1449891,22750613273
Eritrea,3601462,
Estonia,1325188,35409424255
Eswatini,1172369,8771759869
Ethiopia,117876226,195740327716
Europe,747747396,
Faeroe Islands,49053,
Falkland Islands,3528,
Fiji,902899,
Finland,5548361,214535726087
Former USSR,,5753769947727
Former Yugoslavia,,354738083823
France,65426177,2581673898819
French Guiana,306450,
French Polynesia,282534,
Gabon,2278829,36693263561
Gambia,2486937,3939021788
Georgia,3979773,58984799876
Germany,83900471,3885961291103
Ghana,31732128,118873890039
Gibraltar,33691,
Greece,10370747,250035842878
Greenland,56868,
Grenada,113015,
Guadeloupe,400013,
